time,V(n001),V(n009),V(vin1),V(vin2),V(n002),V(n013),V(vz),V(n004),V(n014),V(n005),V(n008),V(n007),V(n006),V(n011),V(n003),V(n012),V(vout),V(n010),I(D1),I(D2),I(Rf),I(Rb),I(R3),I(R4),I(Rin),I(Rf2),I(R5),I(R6),I(R_weight1),I(R_weight2),I(Vcc),I(Vee),I(V1),I(V2),I(Vbias),I(Vref),Ix(input_buffer_1:1),Ix(input_buffer_1:2),Ix(input_buffer_1:3),Ix(input_buffer_1:4),Ix(input_buffer_1:5),Ix(input_buffer_2:1),Ix(input_buffer_2:2),Ix(input_buffer_2:3),Ix(input_buffer_2:4),Ix(input_buffer_2:5),Ix(weighted_sum:1),Ix(weighted_sum:2),Ix(weighted_sum:3),Ix(weighted_sum:4),Ix(weighted_sum:5),Ix(gain_stage:1),Ix(gain_stage:2),Ix(gain_stage:3),Ix(gain_stage:4),Ix(gain_stage:5),Ix(activation:1),Ix(activation:2),Ix(activation:3),Ix(activation:4),Ix(activation:5),Ix(limiter:1),Ix(limiter:2),Ix(limiter:3),Ix(limiter:4),Ix(limiter:5),Ix(output_stage:1),Ix(output_stage:2),Ix(output_stage:3),Ix(output_stage:4),Ix(output_stage:5)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-5.0,0.0,0.0,2.0,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.765624940649698e-12,5.0,-5.0,9.765625e-06,0.0,0.12214502,0.12218669,0.12218665,0.63219106,2.0,0.1220617,0.12212296,0.12206167,0.122060895,0.12206167,0.12205678,0.12205678,0.12206168,-1.4,-6.7696916e-18,6.7700494e-18,-2.5500218e-05,6.800323e-05,-6.3700507e-09,-6.1258048e-09,-8.019608e-11,1.639257e-10,0.0,2.4411356e-10,-1.7001534e-05,-2.5500216e-05,-1.8597716,1.8598396,-1.953125e-14,0.0,0.0076763122,-0.005421018,1.953125e-14,2.4429003e-10,0.26844382,-0.26846084,1.700129e-05,0.0,2.4437338e-10,0.26843956,-0.26846507,2.5499972e-05,0.0,1.264382e-09,0.26843956,-0.26846507,2.549385e-05,0.0,2.442459e-10,0.26845232,-0.26845235,6.0455956e-09,0.0,2.4412178e-10,0.26845232,-0.26845232,-4.0805861e-10,0.0,2.4411356e-10,0.26845232,-0.26845232,-2.441089e-10,2.4412333e-10,-2.789158e-09,0.26845232,-0.26845232,1.13768875e-14
9.841843281346036e-12,5.0,-5.0,9.841843e-06,0.0,0.12309833,0.12314033,0.12314029,0.6349966,2.0,0.12301436,0.123076096,0.12301433,0.12301355,0.12301433,0.123009406,0.123009406,0.12301434,-1.4,-6.8225274e-18,6.8228893e-18,-2.5592813e-05,6.825017e-05,-6.4197465e-09,-6.173594e-09,-8.08221e-11,1.65205e-10,0.0,2.460188e-10,-1.7063274e-05,-2.5592812e-05,-1.2821378,1.2822059,-1.9683687e-14,0.0,-6.825017e-05,2.8e-09,1.9683687e-14,2.4619667e-10,0.18315887,-0.18317595,1.7063028e-05,0.0,2.4628066e-10,0.1831546,-0.1831802,2.5592566e-05,0.0,1.2699931e-09,0.1831546,-0.1831802,2.5586394e-05,0.0,2.4615218e-10,0.1831674,-0.18316741,6.0927583e-09,0.0,2.4602712e-10,0.1831674,-0.1831674,-4.1124343e-10,0.0,2.4601882e-10,0.1831674,-0.1831674,-2.4601668e-10,2.4602864e-10,-2.8e-09,0.1831674,-0.1831674,9.207334e-15
9.994279962738712e-12,5.0,-5.0,9.99428e-06,0.0,0.12500495,0.1250476,0.12504756,0.63638353,2.0,0.12491968,0.12498237,0.124919645,0.12491886,0.12491965,0.12491465,0.12491465,0.12491966,-1.4,-6.928197e-18,6.9285703e-18,-2.55668e-05,6.818082e-05,-6.5190378e-09,-6.269073e-09,-8.207466e-11,1.6776305e-10,0.0,2.498293e-10,-1.7045953e-05,-2.5566798e-05,-0.08747106,0.08753927,-1.998856e-14,0.0,-6.818082e-05,2.8e-09,1.998856e-14,2.500099e-10,0.012492212,-0.012509263,1.7045702e-05,0.0,2.500952e-10,0.012487952,-0.012513523,2.5566547e-05,0.0,1.2727671e-09,0.012487954,-0.012513521,2.556028e-05,0.0,2.4996474e-10,0.012500732,-0.012500743,6.186986e-09,0.0,2.4983773e-10,0.012500735,-0.012500741,-4.176084e-10,0.0,2.498293e-10,0.012500735,-0.012500741,-2.4983451e-10,2.498393e-10,-2.8e-09,0.012500737,-0.012500739,-5.238865e-16
1.471981708591168e-11,5.0,-5.0,1.4719817e-05,0.0,0.18398042,0.18404236,0.18404211,0.6792848,2.0,0.18385652,0.18394747,0.18385646,0.1838553,0.18385646,0.18384911,0.18384911,0.18385822,-1.4,-1.0196765e-17,1.0197594e-17,-2.4762134e-05,6.603576e-05,-9.464156e-09,-9.096261e-09,-1.2108267e-10,2.4662794e-10,0.0,3.6769818e-10,-1.6510146e-05,-2.4762121e-05,-0.087283954,0.08735002,-2.9439636e-14,0.0,-6.603576e-05,2.8e-09,2.9439636e-14,3.6796083e-10,0.012465478,-0.012481992,1.6509779e-05,0.0,3.6808473e-10,0.012461265,-0.012486032,2.4761752e-05,0.0,1.3585696e-09,0.0124612255,-0.012485984,2.475267e-05,0.0,3.6789496e-10,0.012473901,-0.012473915,8.975177e-09,0.0,3.677106e-10,0.012473905,-0.01247391,-6.143388e-10,0.0,3.6769823e-10,0.012473905,-0.01247391,-3.6769757e-10,3.6771294e-10,-2.8e-09,0.012474275,-0.012474277,-4.1427945e-16
1.9445354209084645e-11,5.0,-5.0,1.9445355e-05,0.0,0.24170312,0.24177966,0.24177724,0.7212719,2.0,0.24155004,0.24166122,0.24154997,0.24154846,0.24154998,0.24154031,0.24154031,0.24157044,-1.4,-1.3396279e-17,1.3397755e-17,-2.397473e-05,6.393641e-05,-1.16011485e-08,-1.1117827e-08,-1.5935334e-10,3.237436e-10,0.0,4.830806e-10,-1.5985624e-05,-2.397461e-05,-0.08533182,0.08539578,-3.8890708e-14,0.0,-6.393641e-05,2.8e-09,3.8890708e-14,4.8340626e-10,0.012185472,-0.012201463,1.598514e-05,0.0,4.835593e-10,0.0121805025,-0.012204481,2.3974126e-05,0.0,1.4425438e-09,0.0121800285,-0.012203997,2.396313e-05,0.0,4.833225e-10,0.012195404,-0.0121954195,1.0958406e-08,0.0,4.830969e-10,0.012195411,-0.012195416,-8.068434e-10,0.0,4.8308063e-10,0.012195411,-0.012195416,-4.8308135e-10,4.8309995e-10,-2.8e-09,0.012199589,-0.012199592,-2.7061686e-16
2.920130181821593e-11,5.0,-5.0,2.9201301e-05,0.0,0.33727568,0.33736137,0.33734658,0.79078,2.0,0.33710426,0.33722204,0.33710417,0.33710206,0.33710417,0.33709067,0.33709067,0.33724928,-1.4,-1.8695283e-17,1.8698143e-17,-2.2671671e-05,6.0461e-05,-1.2453262e-08,-1.1778818e-08,-2.2150783e-10,4.5269627e-10,0.0,6.741813e-10,-1.51168115e-05,-2.2670933e-05,-0.067673214,0.067733705,-5.84026e-14,0.0,-6.0461e-05,2.8e-09,5.84026e-14,6.7455136e-10,0.009659719,-0.009674841,1.5116137e-05,0.0,6.747227e-10,0.009652674,-0.00967535,2.267026e-05,0.0,1.5815601e-09,0.009651205,-0.00967387,2.265922e-05,0.0,6.744441e-10,0.009673792,-0.00967381,1.1557139e-08,0.0,6.742041e-10,0.009673804,-0.009673809,-1.1269047e-09,0.0,6.741814e-10,0.009673803,-0.009673809,-6.741815e-10,6.7420836e-10,-2.8e-09,0.009688213,-0.009688215,9.916836e-17
4.8713197036478493e-11,5.0,-5.0,4.87132e-05,0.0,0.43479797,0.43488494,0.43484697,0.8616989,2.0,0.43462393,0.4347311,0.43462384,0.4346211,0.43462384,0.43460646,0.43460646,0.43509758,-1.4,-2.4103131e-17,2.4107722e-17,-2.1342597e-05,5.691505e-05,-1.1586874e-08,-1.0717412e-08,-2.8423286e-10,5.850093e-10,0.0,8.6921287e-10,-1.4230032e-05,-2.13407e-05,-0.028522681,0.028579628,-9.7426394e-14,0.0,-5.691505e-05,2.8e-09,9.7426394e-14,8.695959e-10,0.004066781,-0.004081016,1.4229162e-05,0.0,8.6976987e-10,0.004059967,-0.004081313,2.1339829e-05,0.0,1.7233979e-09,0.004058819,-0.004080157,2.133101e-05,0.0,8.6946217e-10,0.0040804143,-0.0040804306,1.0433134e-08,0.0,8.692421e-10,0.0040804255,-0.00408043,-1.4542573e-09,0.0,8.692129e-10,0.004080425,-0.00408043,-8.6921303e-10,8.692477e-10,-2.8e-09,0.004095848,-0.0040958514,6.877209e-17
8.615501764559684e-11,5.0,-5.0,8.6155014e-05,0.0,0.48377645,0.4838818,0.4838252,0.8973242,2.0,0.48356593,0.48369074,0.4835658,0.48356277,0.4835658,0.48354647,0.48354647,0.48463085,-1.4,-2.6817085e-17,2.682268e-17,-2.0674948e-05,5.5133787e-05,-1.3448061e-08,-1.24806805e-08,-3.1874475e-10,6.483808e-10,0.0,9.670929e-10,-1.3784925e-05,-2.067212e-05,-0.0044309385,0.0044861045,-1.7231003e-13,0.0,-5.5133783e-05,2.8e-09,1.7231003e-13,9.675529e-10,0.0006279853,-0.0006417752,1.3783957e-05,0.0,9.677636e-10,0.00062330975,-0.00064398686,2.067115e-05,0.0,1.7946484e-09,0.0006231683,-0.00064383657,2.0661499e-05,0.0,9.673815e-10,0.0006373698,-0.0006373879,1.2161874e-08,0.0,9.671255e-10,0.00063737883,-0.0006373832,-1.6155128e-09,0.0,9.67093e-10,0.0006373785,-0.00063738343,-9.670932e-10,9.671316e-10,-2.8e-09,0.00064434804,-0.00064435124,2.2020908e-17
1.2850268583717087e-10,5.0,-5.0,0.00012850268,0.0,0.49231765,0.49244785,0.4923856,0.90354794,2.0,0.49205747,0.49221662,0.49205723,0.49205416,0.49205726,0.49203756,0.49203756,0.49380484,-1.4,-2.7287942e-17,2.7293734e-17,-2.0558116e-05,5.48226e-05,-1.6897998e-08,-1.5913566e-08,-3.3010836e-10,6.5399997e-10,0.0,9.84075e-10,-1.3707677e-05,-2.0555002e-05,-0.0035639368,0.0036187915,-2.5700538e-13,0.0,-5.48226e-05,2.8e-09,2.5700538e-13,9.846353e-10,0.00050531514,-0.0005190278,1.3706691e-05,0.0,9.848957e-10,0.00050142105,-0.000521981,2.0554018e-05,0.0,1.8070958e-09,0.00050141284,-0.00052196084,2.0541218e-05,0.0,9.844332e-10,0.00051315024,-0.00051317184,1.5583224e-08,0.0,9.841084e-10,0.00051315984,-0.0005131642,-1.6381149e-09,0.0,9.840752e-10,0.0005131595,-0.0005131645,-9.840754e-10,9.841145e-10,-2.8e-09,0.0005163181,-0.0005163213,1.5543829e-17
1.8232635079416634e-10,5.0,-5.0,0.00018232634,0.0,0.49504682,0.49519283,0.4951275,0.9055405,2.0,0.49475506,0.49493635,0.49475473,0.4947517,0.49475476,0.49473497,0.49473497,0.49747354,-1.4,-2.7437521e-17,2.7443376e-17,-2.0520652e-05,5.4722972e-05,-1.911623e-08,-1.8126357e-08,-3.3763897e-10,6.518644e-10,0.0,9.894698e-10,-1.3683123e-05,-2.0517386e-05,-0.0034676173,0.0035223723,-3.646527e-13,0.0,-5.4722972e-05,2.8e-09,3.646527e-13,9.900937e-10,0.00049213145,-0.0005058195,1.3682133e-05,0.0,9.903857e-10,0.00048860244,-0.00050912483,2.0516394e-05,0.0,1.8110811e-09,0.000488608,-0.0005091164,2.0501537e-05,0.0,9.898726e-10,0.0004992489,-0.0004992727,1.7788555e-08,0.0,9.895034e-10,0.00049925904,-0.00049926335,-1.6413741e-09,0.0,9.8947e-10,0.0004992587,-0.00049926364,-9.894701e-10,9.895095e-10,-2.8e-09,0.0005005087,-0.0005005119,-4.9150497e-18
2.8997368070815727e-10,5.0,-5.0,0.0002899737,0.0,0.49539396,0.49554774,0.49547777,0.905796,2.0,0.49508637,0.49527714,0.49508598,0.49508297,0.495086,0.49506623,0.49506623,0.49989328,-1.4,-2.7455886e-17,2.746175e-17,-2.051591e-05,5.47102e-05,-2.0064931e-08,-1.9074376e-08,-3.420238e-10,6.481421e-10,0.0,9.901324e-10,-1.3680067e-05,-2.0512412e-05,-0.0034566983,0.0035114405,-5.799474e-13,0.0,-5.47102e-05,2.8e-09,5.799474e-13,9.907879e-10,0.0004908872,-0.00050457224,1.3679077e-05,0.0,9.910955e-10,0.00048755386,-0.0005080713,2.051142e-05,0.0,1.811592e-09,0.0004875628,-0.00050806545,2.0495845e-05,0.0,9.905542e-10,0.00049762055,-0.00049764523,1.8732337e-08,0.0,9.90166e-10,0.0004976307,-0.000497635,-1.6383142e-09,0.0,9.901324e-10,0.00049763033,-0.0004976353,-9.901324e-10,9.901719e-10,-2.8e-09,0.0004978128,-0.000497816,-9.468699e-18
3.627040908041877e-09,5.0,-5.0,0.003627041,0.0,0.4627696,0.4629207,0.46267366,0.8820197,2.0,0.4624436,0.462554,0.4624436,0.4624406,0.46244365,0.46242514,0.46242514,0.533492,-1.4,-2.5645823e-17,2.5650944e-17,-2.0967302e-05,5.5899018e-05,-1.1966516e-08,-1.1041408e-08,-2.953779e-10,6.295034e-10,0.0,9.248502e-10,-1.3975003e-05,-2.0954949e-05,-0.0034575746,0.003513504,-7.254082e-12,0.0,-5.5899018e-05,2.8e-09,7.254082e-12,9.2553915e-10,0.00049114233,-0.000505122,1.3974078e-05,0.0,9.2584135e-10,0.0004877992,-0.0005087588,2.0954025e-05,0.0,1.7640394e-09,0.00048780307,-0.00050876476,2.0955335e-05,0.0,9.25108e-10,0.00049790455,-0.00049792085,1.0745358e-08,0.0,9.248812e-10,0.0004979105,-0.00049791456,-1.5544037e-09,0.0,9.248503e-10,0.0004979102,-0.00049791485,-9.248503e-10,9.248872e-10,-2.8e-09,0.00049710483,-0.0004971083,1.2498706e-18
6.9641081353755966e-09,5.0,-5.0,0.006964108,0.0,0.42978922,0.42990735,0.42934743,0.8579309,2.0,0.42942452,0.42938167,0.42942435,0.42942166,0.42942446,0.42940727,0.42940727,0.5665962,-1.4,-2.381483e-17,2.3819268e-17,-2.1429174e-05,5.7103454e-05,3.4246455e-09,4.2834087e-09,-2.8645641e-10,5.723869e-10,0.0,8.5881446e-10,-1.4271389e-05,-2.1401178e-05,-0.0034583588,0.003515491,-1.3928216e-11,0.0,-5.7103454e-05,2.8e-09,1.3928216e-11,8.595784e-10,0.00049125846,-0.0005055342,1.427053e-05,0.0,8.598147e-10,0.0004878271,-0.00050923263,2.1400318e-05,0.0,1.7158618e-09,0.00048781984,-0.0005092584,2.14326e-05,0.0,8.5876334e-10,0.0004982073,-0.0004982079,-4.569993e-09,0.0,8.588433e-10,0.00049820583,-0.00049820956,-1.4313819e-09,0.0,8.588145e-10,0.0004982055,-0.0004982098,-8.588146e-10,8.5884866e-10,-2.8e-09,0.00049683475,-0.00049683853,-3.8127778e-18
1.3853537249871018e-08,5.0,-5.0,0.013853537,0.0,0.36372066,0.36332303,0.36079624,0.8090638,2.0,0.3628985,0.36184376,0.36283058,0.36284998,0.36283255,0.36281803,0.36281803,0.6351719,-1.4,-2.0122216e-17,2.0125466e-17,-2.2413378e-05,5.954681e-05,1.0475101e-07,1.0547469e-07,-4.854211e-09,-4.128511e-09,0.0,7.25636e-10,-1.48447725e-05,-2.228704e-05,-0.003459285,0.003518857,-2.7707074e-11,0.0,-5.954671e-05,2.8e-09,2.7707074e-11,7.274413e-10,0.00049146765,-0.00050631596,1.48438885e-05,0.0,7.266461e-10,0.000487892,-0.0005101826,2.228627e-05,0.0,1.6181276e-09,0.00048780738,-0.0005103309,2.2518272e-05,0.0,7.236875e-10,0.0004987526,-0.00049864675,-1.1022145e-07,0.0,7.2569994e-10,0.0004986974,-0.00049870496,3.252767e-09,0.0,7.2563605e-10,0.00049869926,-0.0004987029,-7.256419e-10,7.256611e-10,-2.8e-09,0.0004959687,-0.000495973,-1.7708636e-18
