time,V(n001),V(n009),V(vin1),V(vin2),V(n002),V(n012),V(vz),V(n004),V(n013),V(n005),V(n008),V(n007),V(n006),V(n011),V(n003),V(vout),V(n010),I(D1),I(D2),I(Rf),I(Rb),I(R3),I(R4),I(Rin),I(Rf2),I(R5),I(R6),I(R_weight1),I(R_weight2),I(Vcc),I(Vee),I(V1),I(V2),I(Vbias),I(Vref),Ix(input_buffer_1:1),Ix(input_buffer_1:2),Ix(input_buffer_1:3),Ix(input_buffer_1:4),Ix(input_buffer_1:5),Ix(input_buffer_2:1),Ix(input_buffer_2:2),Ix(input_buffer_2:3),Ix(input_buffer_2:4),Ix(input_buffer_2:5),Ix(weighted_sum:1),Ix(weighted_sum:2),Ix(weighted_sum:3),Ix(weighted_sum:4),Ix(weighted_sum:5),Ix(gain_stage:1),Ix(gain_stage:2),Ix(gain_stage:3),Ix(gain_stage:4),Ix(gain_stage:5),Ix(activation:1),Ix(activation:2),Ix(activation:3),Ix(activation:4),Ix(activation:5),Ix(limiter:1),Ix(limiter:2),Ix(limiter:3),Ix(limiter:4),Ix(limiter:5),Ix(output_stage:1),Ix(output_stage:2),Ix(output_stage:3),Ix(output_stage:4),Ix(output_stage:5)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-5.0,0.0,0.0,2.0,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.765624940649698e-12,5.0,-5.0,9.765625e-06,0.0,0.122176275,0.122176275,0.122176245,0.5896902,2.0,0.12206169,0.12211775,0.12206167,0.122060895,0.12206167,0.12206004,0.12206168,-1.4,-2.2577717e-18,2.2578114e-18,-2.3375698e-05,7.012828e-05,-5.8494405e-09,-5.605205e-09,-7.999626e-11,1.6412553e-10,-1.6270678e-10,8.14133e-11,-2.3375698e-05,-2.3375698e-05,-1.8597704,1.8598406,-1.953125e-14,0.0,0.0076742023,-0.0054210285,1.953125e-14,2.4435254e-10,0.26844063,-0.26846403,2.3375453e-05,0.0,2.4435254e-10,0.26844063,-0.26846403,2.3375453e-05,0.0,1.1793805e-09,0.26844063,-0.26846403,2.3369605e-05,0.0,2.442355e-10,0.26845232,-0.26845235,5.525203e-09,0.0,2.4412178e-10,0.26845232,-0.26845232,-3.2682967e-10,0.0,2.4412009e-10,0.26845232,-0.26845232,-8.141289e-11,2.4435248e-10,-2.789158e-09,0.26845232,-0.26845232,-8.8981785e-15
9.841843431662953e-12,5.0,-5.0,9.841843e-06,0.0,0.12312983,0.12312983,0.1231298,0.5923414,2.0,0.12301436,0.12307085,0.12301433,0.123013556,0.12301433,0.12301269,0.12301434,-1.4,-2.2753931e-18,2.2754335e-18,-2.3460581e-05,7.038293e-05,-5.895075e-09,-5.6489338e-09,-8.0620705e-11,1.654064e-10,-1.6397667e-10,8.2048715e-11,-2.3460581e-05,-2.3460581e-05,-1.2821367,1.2822071,-1.9683687e-14,0.0,-7.038293e-05,2.8e-09,1.9683687e-14,2.4625965e-10,0.18315567,-0.18317914,2.3460334e-05,0.0,2.4625965e-10,0.18315567,-0.18317914,2.3460334e-05,0.0,1.1846829e-09,0.18315567,-0.18317914,2.345444e-05,0.0,2.461417e-10,0.1831674,-0.18316741,5.5683103e-09,0.0,2.4602712e-10,0.1831674,-0.1831674,-3.2938138e-10,0.0,2.4602537e-10,0.1831674,-0.1831674,-8.204999e-11,2.462596e-10,-2.8e-09,0.1831674,-0.1831674,-1.20939136e-14
9.994280413689463e-12,5.0,-5.0,9.994281e-06,0.0,0.12503694,0.12503694,0.12503691,0.59377176,2.0,0.12491968,0.124977045,0.12491965,0.12491886,0.12491965,0.12491799,0.12491967,-1.4,-2.3106364e-18,2.3106778e-18,-2.3436742e-05,7.031141e-05,-5.986252e-09,-5.7362977e-09,-8.187008e-11,1.6796765e-10,-1.6651643e-10,8.331955e-11,-2.3436742e-05,-2.3436742e-05,-0.087469995,0.087540336,-1.9988561e-14,0.0,-7.031141e-05,2.8e-09,1.9988561e-14,2.5007388e-10,0.012489017,-0.0125124585,2.343649e-05,0.0,2.5007388e-10,0.012489017,-0.0125124585,2.343649e-05,0.0,1.1875435e-09,0.012489019,-0.012512456,2.3430506e-05,0.0,2.4995409e-10,0.012500732,-0.012500743,5.6544325e-09,0.0,2.4983773e-10,0.012500735,-0.012500741,-3.3448458e-10,0.0,2.4983599e-10,0.012500735,-0.012500741,-8.332518e-11,2.5007382e-10,-2.8e-09,0.012500737,-0.012500739,-1.7132707e-14
1.471982685651126e-11,5.0,-5.0,1.4719827e-05,0.0,0.18402702,0.18402702,0.18402675,0.63801384,2.0,0.18385664,0.18393986,0.18385658,0.18385541,0.18385659,0.18385413,0.18385834,-1.4,-3.4009384e-18,3.401031e-18,-2.2699352e-05,6.809931e-05,-8.690077e-09,-8.322197e-09,-1.207547e-10,2.4695615e-10,-2.4507277e-10,1.2263549e-10,-2.269934e-05,-2.269934e-05,-0.087282896,0.08735103,-2.9439653e-14,0.0,-6.809931e-05,2.8e-09,2.9439653e-14,3.68054e-10,0.012462318,-0.012485022,2.2698972e-05,0.0,3.68054e-10,0.012462318,-0.012485022,2.2698972e-05,0.0,1.2760276e-09,0.012462278,-0.012484974,2.2690294e-05,0.0,3.678797e-10,0.012473901,-0.012473915,8.201437e-09,0.0,3.6771086e-10,0.012473905,-0.01247391,-4.9202775e-10,0.0,3.6770825e-10,0.012473905,-0.01247391,-1.2263342e-10,3.680535e-10,-2.8e-09,0.012474274,-0.012474277,9.026196e-15
1.9445373299333056e-11,5.0,-5.0,1.9445373e-05,0.0,0.24176075,0.24176075,0.24175833,0.68131316,2.0,0.24155027,0.24165188,0.24155019,0.24154866,0.24155019,0.24154699,0.24157065,-1.4,-4.4684024e-18,4.4685666e-18,-2.197774e-05,6.593434e-05,-1.0645212e-08,-1.0161908e-08,-1.5889356e-10,3.2420377e-10,-3.2196568e-10,1.6112828e-10,-2.197762e-05,-2.197762e-05,-0.085330546,0.08539651,-3.8890745e-14,0.0,-6.593434e-05,2.8e-09,3.8890745e-14,4.835215e-10,0.012181741,-0.012203723,2.1977137e-05,0.0,4.835215e-10,0.012181741,-0.012203723,2.1977137e-05,0.0,1.3626262e-09,0.012181267,-0.01220324,2.196661e-05,0.0,4.8330373e-10,0.012195401,-0.012195416,1.0002951e-08,0.0,4.8309734e-10,0.012195407,-0.012195412,-6.4616956e-10,0.0,4.8309395e-10,0.012195407,-0.012195412,-1.6112842e-10,4.8351667e-10,-2.8e-09,0.012199585,-0.012199588,1.1564823e-17
2.920134014902967e-11,5.0,-5.0,2.9201341e-05,0.0,0.33734027,0.33734024,0.33732548,0.75299394,2.0,0.33710456,0.33721164,0.33710447,0.33710232,0.33710447,0.33709997,0.33724958,-1.4,-6.236529e-18,6.236847e-18,-2.0783424e-05,6.23503e-05,-1.1384426e-08,-1.0710003e-08,-2.2092055e-10,4.5328413e-10,-4.4931234e-10,2.248876e-10,-2.0782685e-05,-2.0782685e-05,-0.067671366,0.06773375,-5.840268e-14,0.0,-6.23503e-05,2.8e-09,5.840268e-14,6.746805e-10,0.009654423,-0.00967521,2.0782012e-05,0.0,6.746805e-10,0.009654423,-0.00967521,2.0782012e-05,0.0,1.5059879e-09,0.0096529545,-0.009673732,2.0771366e-05,0.0,6.744233e-10,0.009673781,-0.009673797,1.0488922e-08,0.0,6.742047e-10,0.009673792,-0.009673797,-9.025969e-10,0.0,6.741999e-10,0.009673791,-0.009673797,-2.2488757e-10,6.74651e-10,-2.8e-09,0.0096881995,-0.009688203,-2.4857143e-16
4.8713273848422896e-11,5.0,-5.0,4.8713275e-05,0.0,0.43486345,0.43486345,0.43482554,0.82612985,2.0,0.43462417,0.4347205,0.43462408,0.4346213,0.43462408,0.4346183,0.43509784,-1.4,-8.042459e-18,8.04297e-18,-1.9565216e-05,5.869351e-05,-1.0503442e-08,-9.634001e-09,-2.8350897e-10,5.857337e-10,-5.792259e-10,2.9001065e-10,-1.956332e-05,-1.956332e-05,-0.028520904,0.02857963,-9.742655e-14,0.0,-5.8693506e-05,2.8e-09,9.742655e-14,8.697269e-10,0.00406166,-0.0040812283,1.9562449e-05,0.0,8.697269e-10,0.00406166,-0.004081228,1.9562449e-05,0.0,1.6522597e-09,0.004060513,-0.0040800734,1.9553841e-05,0.0,8.6944096e-10,0.004080405,-0.00408042,9.350449e-09,0.0,8.692426e-10,0.0040804152,-0.00408042,-1.16496e-09,0.0,8.6923657e-10,0.0040804143,-0.00408042,-2.9001065e-10,8.696511e-10,-2.8e-09,0.0040958375,-0.0040958407,-3.6043257e-17
8.615520727342961e-11,5.0,-5.0,8.615521e-05,0.0,0.4838554,0.48385537,0.4837989,0.8628688,2.0,0.48356584,0.48367754,0.48356572,0.48356268,0.48356575,0.48355928,0.48463076,-1.4,-8.952881e-18,8.953505e-18,-1.8953495e-05,5.685656e-05,-1.2135803e-08,-1.11684475e-08,-3.1752856e-10,6.4959677e-10,-6.4427713e-10,3.2284142e-10,-1.895067e-05,-1.895067e-05,-0.0044297795,0.0044866684,-1.7231041e-13,0.0,-5.6856556e-05,2.8e-09,1.7231041e-13,9.677108e-10,0.0006244793,-0.000643435,1.89497e-05,0.0,9.677108e-10,0.0006244793,-0.000643435,1.8949702e-05,0.0,1.7257376e-09,0.0006243376,-0.0006432847,1.8940389e-05,0.0,9.673551e-10,0.0006373726,-0.0006373894,1.0850864e-08,0.0,9.671254e-10,0.00063738064,-0.0006373853,-1.2938742e-09,0.0,9.671186e-10,0.00063738,-0.00063738564,-3.2284156e-10,9.675978e-10,-2.8e-09,0.00064435,-0.00064435316,1.564028e-18
1.285069709942493e-10,5.0,-5.0,0.00012850697,0.0,0.4924157,0.49241567,0.4923535,0.8692875,2.0,0.49205783,0.49220073,0.49205762,0.49205452,0.49205765,0.49205106,0.4938053,-1.4,-9.114358e-18,9.115004e-18,-1.8846702e-05,5.6535624e-05,-1.527577e-08,-1.4291369e-08,-3.282108e-10,6.558983e-10,-6.554376e-10,3.2866454e-10,-1.8843592e-05,-1.8843592e-05,-0.003562946,0.003619514,-2.5701395e-13,0.0,-5.653562e-05,2.8e-09,2.5701395e-13,9.848313e-10,0.00050239125,-0.0005212398,1.8842606e-05,0.0,9.848313e-10,0.00050239125,-0.0005212398,1.8842607e-05,0.0,1.7385751e-09,0.00050238264,-0.00052121986,1.883044e-05,0.0,9.844014e-10,0.0005131494,-0.0005131694,1.3962948e-08,0.0,9.84109e-10,0.000513158,-0.00051316264,-1.3113363e-09,0.0,9.841021e-10,0.0005131574,-0.00051316305,-3.2866465e-10,9.84707e-10,-2.8e-09,0.00051631615,-0.00051631936,-2.1515939e-17
